name,type,top,toperr,bot,boterr,C,M,Y,K,R,G,B,fontstyle,fontcolor,col,meanage,fontface,start,end,fontsize,meanwidth,fontangle,fonthjust
Phanerozoic,Eon,0,NA,541,1,40,0,5,0,154,217,221,regular,black,#9AD9DD,270.5,1,0.5,1,14,0.75,90,0.5
Cenozoic,Era,0,NA,66,NA,5,0,90,0,242,249,29,regular,black,#F2F91D,33,1,1,1.5,12,1.25,90,0.5
Quaternary,Period,0,NA,2.58,NA,0,0,50,0,249,249,127,regular,black,#F9F97F,1.29,1,1.5,2,10,1.75,0,0
Holocene,Epoch,0,NA,0.0117,NA,0,5,10,0,254,242,224,regular,black,#FEF2E0,0.00585,1,2,3.5,8,2.75,0,0
,Age,0,NA,0.0117,NA,0,5,5,0,254,242,236,regular,black,#FEF2EC,0.00585,1,3.5,5,8,4.25,0,0
Pleistocene,Epoch,0.0117,NA,2.58,NA,0,5,30,0,255,242,174,regular,black,#FFF2AE,1.2958500000000002,1,2,3.5,8,2.75,0,0
Upper,Age,0.0117,NA,0.126,NA,0,5,15,0,255,242,211,italics,black,#FFF2D3,0.06885,3,3.5,5,8,4.25,0,0
Middle,Age,0.126,NA,0.781,NA,0,5,20,0,255,242,199,italics,black,#FFF2C7,0.4535,3,3.5,5,8,4.25,0,0
Calabrian,Age,0.781,NA,1.8,NA,0,5,25,0,255,242,186,regular,black,#FFF2BA,1.2905000000000002,1,3.5,5,8,4.25,0,0
Gelasian,Age,1.8,NA,2.58,NA,0,5,35,0,255,237,179,regular,black,#FFEDB3,2.19,1,3.5,5,8,4.25,0,0
Neogene,Period,2.58,NA,23.03,NA,0,10,90,0,255,230,25,regular,black,#FFE619,12.805000000000001,1,1.5,2,10,1.75,90,0
Pliocene,Epoch,2.58,NA,5.333,NA,0,0,40,0,255,255,153,regular,black,#FFFF99,3.9565,1,2,3.5,8,2.75,0,0
Piacenzian,Age,2.58,NA,3.6,NA,0,0,25,0,255,255,191,regular,black,#FFFFBF,3.09,1,3.5,5,8,4.25,0,0
Zanclean,Age,3.6,NA,5.333,NA,0,0,30,0,255,255,179,regular,black,#FFFFB3,4.4665,1,3.5,5,8,4.25,0,0
Miocene,Epoch,5.333,NA,23.03,NA,0,0,100,0,255,255,0,regular,black,#FFFF00,14.181500000000002,1,2,3.5,8,2.75,0,0
Messinian,Age,5.333,NA,7.246,NA,0,0,55,0,255,255,115,regular,black,#FFFF73,6.2895,1,3.5,5,8,4.25,0,0
Tortonian,Age,7.246,NA,11.63,NA,0,0,60,0,255,255,102,regular,black,#FFFF66,9.438,1,3.5,5,8,4.25,0,0
Serravallian,Age,11.63,NA,13.82,NA,0,0,65,0,255,255,89,regular,black,#FFFF59,12.725000000000001,1,3.5,5,8,4.25,0,0
Langhian,Age,13.82,NA,15.97,NA,0,0,70,0,255,255,77,regular,black,#FFFF4D,14.895,1,3.5,5,8,4.25,0,0
Burdigalian,Age,15.97,NA,20.44,NA,0,0,75,0,255,255,65,regular,black,#FFFF41,18.205000000000002,1,3.5,5,8,4.25,0,0
Aquitanian,Age,20.44,NA,23.03,NA,0,0,80,0,255,255,51,regular,black,#FFFF33,21.735,1,3.5,5,8,4.25,0,0
Paleogene,Period,23.03,NA,66,NA,0,40,60,0,253,154,82,regular,black,#FD9A52,44.515,1,1.5,2,10,1.75,90,0
Oligocene,Epoch,23.03,NA,33.9,NA,0,25,45,0,253,192,122,regular,black,#FDC07A,28.465,1,2,3.5,8,2.75,0,0
Chattian,Age,23.03,NA,28.1,NA,0,10,30,0,254,230,170,regular,black,#FEE6AA,25.565,1,3.5,5,8,4.25,0,0
Rupelian,Age,28.1,NA,33.9,NA,0,15,35,0,254,217,154,regular,black,#FED99A,31,1,3.5,5,8,4.25,0,0
Eocene,Epoch,33.9,NA,56,NA,0,30,50,0,253,180,108,regular,black,#FDB46C,44.95,1,2,3.5,8,2.75,0,0
Priabonian,Age,33.9,NA,37.8,NA,0,20,30,0,253,205,161,regular,black,#FDCDA1,35.849999999999994,1,3.5,5,8,4.25,0,0
Bartonian,Age,37.8,NA,41.2,NA,0,25,35,0,253,192,145,regular,black,#FDC091,39.5,1,3.5,5,8,4.25,0,0
Lutetian,Age,41.2,NA,47.8,NA,0,30,40,0,252,180,130,regular,black,#FCB482,44.5,1,3.5,5,8,4.25,0,0
Ypresian,Age,47.8,NA,56,NA,0,35,45,0,252,167,115,regular,black,#FCA773,51.9,1,3.5,5,8,4.25,0,0
Paleocene,Epoch,56,NA,66,NA,0,35,55,0,253,167,95,regular,black,#FDA75F,61,1,2,3.5,8,2.75,0,0
Thanetian,Age,56,NA,59.2,NA,0,25,50,0,253,191,111,regular,black,#FDBF6F,57.6,1,3.5,5,8,4.25,0,0
Selandian,Age,59.2,NA,61.6,NA,0,25,55,0,254,191,101,regular,black,#FEBF65,60.400000000000006,1,3.5,5,8,4.25,0,0
Danian,Age,61.6,NA,66,NA,0,30,55,0,253,180,98,regular,black,#FDB462,63.8,1,3.5,5,8,4.25,0,0
Mesozoic,Era,66,NA,252,NA,60,0,10,0,103,197,202,regular,black,#67C5CA,159,1,1,1.5,12,1.25,90,0.5
Cretaceous,Period,66,NA,145,NA,50,0,75,0,127,198,78,regular,black,#7FC64E,105.5,1,1.5,2,10,1.75,90,0
Upper,Epoch,66,NA,100.5,NA,35,0,75,0,166,216,74,regular,black,#A6D84A,83.25,1,2,3.5,8,2.75,0,0
Maastrictian,Age,66,NA,72.1,0.2,10,0,50,0,242,250,140,regular,black,#F2FA8C,69.05,1,3.5,5,8,4.25,0,0
Campanian,Age,72.1,0.2,83.6,0.2,10,0,50,0,230,244,127,regular,black,#E6F47F,77.85,1,3.5,5,8,4.25,0,0
Santonian,Age,83.6,0.2,86.3,0.5,15,0,55,0,217,239,116,regular,black,#D9EF74,84.94999999999999,1,3.5,5,8,4.25,0,0
Coniacian,Age,86.3,0.5,89.8,0.3,20,0,60,0,204,233,104,regular,black,#CCE968,88.05,1,3.5,5,8,4.25,0,0
Turonian,Age,89.8,0.3,93.9,NA,25,0,65,0,191,227,93,regular,black,#BFE35D,91.85,1,3.5,5,8,4.25,0,0
Cenamonian,Age,93.9,NA,100,NA,30,0,70,0,179,222,83,regular,black,#B3DE53,96.95,1,3.5,5,8,4.25,0,0
Albian,Age,100,NA,113,NA,20,0,40,0,204,234,151,regular,black,#CCEA97,106.5,1,3.5,5,8,4.25,0,0
Lower,Epoch,100.5,NA,145,NA,45,0,70,0,140,205,87,regular,black,#8CCD57,122.75,1,2,3.5,8,2.75,0,0
Aptian,Age,113,NA,126,NA,25,0,45,0,191,228,138,regular,black,#BFE48A,119.5,1,3.5,5,8,4.25,0,0
Barremian,Age,126,NA,131,NA,30,0,50,0,179,223,127,regular,black,#B3DF7F,128.5,1,3.5,5,8,4.25,0,0
Hauterivian,Age,131,NA,134,NA,35,0,55,0,166,217,117,regular,black,#A6D975,132.5,1,3.5,5,8,4.25,0,0
Valanginian,Age,134,NA,139,NA,40,0,60,0,153,211,106,regular,black,#99D36A,136.5,1,3.5,5,8,4.25,0,0
Berriasian,Age,139,NA,145,NA,45,0,65,0,140,205,96,regular,black,#8CCD60,142,1,3.5,5,8,4.25,0,0
Jurassic,Period,145,NA,201.3,0.2,80,0,5,0,52,178,201,regular,white,#34B2C9,173.15,1,1.5,2,10,1.75,90,0
Upper,Epoch,145,NA,163.5,1,30,0,0,0,179,227,238,regular,black,#B3E3EE,154.25,1,2,3.5,8,2.75,0,0
Tithonian,Age,145,NA,152.1,0.9,15,0,0,0,217,241,247,regular,black,#D9F1F7,148.55,1,3.5,5,8,4.25,0,0
Kimmeridgian,Age,152.1,0.9,157.3,1,20,0,0,0,204,236,244,regular,black,#CCECF4,154.7,1,3.5,5,8,4.25,0,0
Oxfordian,Age,157.3,1,163.5,1,25,0,0,0,191,231,241,regular,black,#BFE7F1,160.4,1,3.5,5,8,4.25,0,0
Middle,Epoch,163.5,1,174.1,1,50,0,5,0,128,207,216,regular,black,#80CFD8,168.8,1,2,3.5,8,2.75,0,0
Callovian,Age,163.5,1,166.1,1.2,25,0,5,0,191,231,229,regular,black,#BFE7E5,164.8,1,3.5,5,8,4.25,0,0
Bathonian,Age,166.1,1.2,168.3,1.3,30,0,5,0,179,226,227,regular,black,#B3E2E3,167.2,1,3.5,5,8,4.25,0,0
Bajocian,Age,168.3,1.3,170.3,1.4,35,0,5,0,166,221,224,regular,black,#A6DDE0,169.3,1,3.5,5,8,4.25,0,0
Aalenian,Age,170.3,1.4,174.1,1,40,0,5,0,154,217,221,regular,black,#9AD9DD,172.2,1,3.5,5,8,4.25,0,0
Lower,Epoch,174.1,1,201.3,0.2,75,5,0,0,66,174,208,regular,white,#42AED0,187.7,1,2,3.5,8,2.75,0,0
Toarcian,Age,174.1,1,182.7,0.7,40,5,0,0,153,206,227,regular,black,#99CEE3,178.39999999999998,1,3.5,5,8,4.25,0,0
Pliensbachian,Age,182.7,0.7,190.8,1,50,5,0,0,128,197,221,regular,white,#80C5DD,186.75,1,3.5,5,8,4.25,0,0
Sinemurian,Age,190.8,1,199.3,0.3,60,5,0,0,103,188,216,regular,white,#67BCD8,195.05,1,3.5,5,8,4.25,0,0
Hettangian,Age,199.3,0.3,201.3,0.2,70,5,0,0,78,179,211,regular,white,#4EB3D3,200.3,1,3.5,5,8,4.25,0,0
Triassic,Period,201.3,0.2,251.902,0.024,50,80,0,0,129,43,146,regular,white,#812B92,226.601,1,1.5,2,10,1.75,90,0
Upper,Epoch,201.3,0.2,237,NA,25,40,0,0,189,140,195,regular,white,#BD8CC3,219.15,1,2,3.5,8,2.75,0,0
Rhaetian,Age,201.3,0.2,208.5,NA,10,25,0,0,227,185,219,regular,black,#E3B9DB,204.9,1,3.5,5,8,4.25,0,0
Norian,Age,208.5,NA,227,NA,15,30,0,0,214,170,211,regular,black,#D6AAD3,217.75,1,3.5,5,8,4.25,0,0
Carnian,Age,227,NA,237,NA,20,35,0,0,201,155,203,regular,black,#C99BCB,232,1,3.5,5,8,4.25,0,0
Middle,Epoch,237,NA,247.2,NA,30,55,0,0,177,104,177,regular,white,#B168B1,242.1,1,2,3.5,8,2.75,0,0
Ladinian,Age,237,NA,242,NA,20,45,0,0,201,131,191,regular,white,#C983BF,239.5,1,3.5,5,8,4.25,0,0
Anisian,Age,242,NA,247.2,NA,25,50,0,0,188,117,183,regular,white,#BC75B7,244.6,1,3.5,5,8,4.25,0,0
Lower,Epoch,247.2,NA,251.902,0.024,40,75,0,0,152,57,153,regular,white,#983999,249.551,1,2,3.5,8,2.75,0,0
Olenekian,Age,247.2,NA,251.2,NA,30,65,0,0,176,81,165,regular,white,#B051A5,249.2,1,3.5,5,8,4.25,0,0
Induan,Age,251.2,NA,251.902,0.024,35,70,0,0,164,70,159,regular,white,#A4469F,251.551,1,3.5,5,8,4.25,0,0
Paleozoic,Era,251.902,0.024,541,1,40,10,40,0,153,192,141,regular,black,#99C08D,396.451,1,1,1.5,12,1.25,90,0.5
Permian,Period,251.902,0.024,298.9,0.15,5,75,75,0,240,64,40,regular,black,#F04028,275.40099999999995,1,1.5,2,10,1.75,90,0
Lopingian,Epoch,251.902,0.024,259.1,0.5,0,35,30,0,251,167,148,regular,black,#FBA794,255.501,1,2,3.5,8,2.75,0,0
Changhsingian,Age,251.902,0.024,254.14,0.07,0,55,50,0,252,192,178,regular,black,#FCC0B2,253.021,1,3.5,5,8,4.25,0,0
Wuchiapingian,Age,254.14,0.07,259.1,0.5,0,30,25,0,252,180,162,regular,black,#FCB4A2,256.62,1,3.5,5,8,4.25,0,0
Guadalupian,Epoch,259.1,0.5,272.95,0.11,0,55,50,0,251,116,92,regular,black,#FB745C,266.025,1,2,3.5,8,2.75,0,0
Capitanian,Age,259.1,0.5,265.1,0.4,0,40,35,0,251,154,133,regular,black,#FB9A85,262.1,1,3.5,5,8,4.25,0,0
Wordian,Age,265.1,0.4,268.8,0.5,0,45,40,0,251,141,118,regular,black,#FB8D76,266.95000000000005,1,3.5,5,8,4.25,0,0
Roardian,Age,268.8,0.5,272.95,0.11,0,50,45,0,251,128,105,regular,black,#FB8069,270.875,1,3.5,5,8,4.25,0,0
Cisuralian,Epoch,272.95,0.11,298.9,0.15,5,65,60,0,239,88,69,regular,black,#EF5845,285.92499999999995,1,2,3.5,8,2.75,0,0
Kungurian,Age,272.95,0.11,283.5,0.6,10,45,40,0,227,135,118,regular,black,#E38776,278.225,1,3.5,5,8,4.25,0,0
Artinskian,Age,283.5,0.6,290.1,0.26,10,50,45,0,227,123,104,regular,black,#E37B68,286.8,1,3.5,5,8,4.25,0,0
Sakmarian,Age,290.1,0.26,295,0.18,10,55,50,0,227,111,92,regular,black,#E36F5C,292.55,1,3.5,5,8,4.25,0,0
Asselian,Age,295,0.18,298.9,0.15,10,60,55,0,227,99,88,regular,black,#E36358,296.95,1,3.5,5,8,4.25,0,0
Carboniferous,Period,298.9,0.15,358.9,0.4,60,15,30,0,103,165,153,regular,white,#67A599,328.9,1,1.5,2,10,1.75,90,0
"Pennsyl-
vanian",superepoch,298.9,0.15,323.2,0.4,40,10,20,0,153,194,181,regular,black,#99C2B5,311.04999999999995,1,2,2.5,9,2.25,90,0
Upper,Epoch,298.9,0.15,307,0.1,25,10,20,0,191,208,186,regular,black,#BFD0BA,302.95,1,2.5,3.5,8,3,0,0
Gzhelian,Age,298.9,0.15,303.7,0.1,20,10,15,0,204,212,199,regular,black,#CCD4C7,301.29999999999995,1,3.5,5,8,4.25,0,0
Kasimovian,Age,303.7,0.1,307,0.1,25,10,15,0,191,208,197,regular,black,#BFD0C5,305.35,1,3.5,5,8,4.25,0,0
Middle,Epoch,307,0.1,315.2,0.2,35,10,20,0,166,199,183,regular,black,#A6C7B7,311.1,1,2.5,3.5,8,3,0,0
Moscovian,Age,307,0.1,315.2,0.2,30,10,20,0,179,185,197,regular,black,#B3B9C5,311.1,1,3.5,5,8,4.25,0,0
Lower,Epoch,315.2,0.2,323.2,0.4,45,10,20,0,140,190,180,regular,black,#8CBEB4,319.2,1,2.5,3.5,8,3,0,0
Bashkirian,Age,315.2,0.2,323.2,0.4,40,10,20,0,153,194,181,regular,black,#99C2B5,319.2,1,3.5,5,8,4.25,0,0
"Missis-
sippian",superepoch,323.2,0.4,358.9,0.4,60,25,55,0,103,143,102,regular,white,#678F66,341.04999999999995,1,2,2.5,9,2.25,90,0
Upper,Epoch,323.2,0.4,330.9,0.2,30,15,55,0,179,190,108,regular,black,#B3BE6C,327.04999999999995,1,2.5,3.5,8,3,0,0
Serpukhovian,Age,323.2,0.4,330.9,0.2,25,15,55,0,191,194,107,regular,black,#BFC26B,327.04999999999995,1,3.5,5,8,4.25,0,0
Middle,Epoch,330.9,0.2,346.7,0.4,40,15,55,0,153,180,108,regular,black,#99B46C,338.79999999999995,1,2.5,3.5,8,3,0,0
Visean,Age,330.9,0.2,346.7,0.4,35,15,55,0,166,185,108,regular,black,#A6B96C,338.79999999999995,1,3.5,5,8,4.25,0,0
Lower,Epoch,346.7,0.4,358.9,0.4,50,15,55,0,128,171,108,regular,black,#80AB6C,352.79999999999995,1,2.5,3.5,8,3,0,0
Tournaisian,Age,346.7,0.4,358.9,0.4,45,15,55,0,140,176,108,regular,black,#8CB06C,352.79999999999995,1,3.5,5,8,4.25,0,0
Devonian,Period,358.9,0.4,419.2,3.2,20,40,75,0,203,140,55,regular,black,#CB8C37,389.04999999999995,1,1.5,2,10,1.75,90,0
Upper,Epoch,358.9,0.4,382.7,1.6,5,10,35,0,241,225,157,regular,black,#F1E19D,370.79999999999995,1,2,3.5,8,2.75,0,0
Famennian,Age,358.9,0.4,372.2,1.6,5,5,20,0,242,237,197,regular,black,#F2EDC5,365.54999999999995,1,3.5,5,8,4.25,0,0
Frasnian,Age,372.2,1.6,382.7,1.6,5,5,30,0,242,237,173,regular,black,#F2EDAD,377.45,1,3.5,5,8,4.25,0,0
Eifelian,Age,378.7,0.8,393.3,1.2,5,15,50,0,241,213,118,regular,black,#F1D576,386,1,3.5,5,8,4.25,0,0
Middle,Epoch,382.7,1.6,393.3,1.2,5,20,55,0,241,200,104,regular,black,#F1C868,388,1,2,3.5,8,2.75,0,0
Givetian,Age,382.7,1.6,378.7,0.8,5,10,45,0,241,225,133,regular,black,#F1E185,380.7,1,3.5,5,8,4.25,0,0
Lower,Epoch,393.3,1.2,419.2,3.2,10,30,65,0,229,172,77,regular,black,#E5AC4D,406.25,1,2,3.5,8,2.75,0,0
Emsian,Age,393.3,1.2,407.6,2.6,10,15,50,0,229,208,117,regular,black,#E5D075,400.45000000000005,1,3.5,5,8,4.25,0,0
Pragian,Age,407.6,2.6,410.8,2.8,10,20,55,0,229,196,104,regular,black,#E5C468,409.20000000000005,1,3.5,5,8,4.25,0,0
Lochkovian,Age,410.8,2.8,419.2,3.2,10,25,60,0,229,183,90,regular,black,#E5B75A,415,1,3.5,5,8,4.25,0,0
Silurian,Period,419.2,3.2,443.8,1.5,30,0,25,0,179,225,182,regular,black,#B3E1B6,431.5,1,1.5,2,10,1.75,90,0
Pridoli,Epoch,419.2,3.2,423,2.3,10,0,10,0,230,245,225,regular,black,#E6F5E1,421.1,1,2,3.5,8,2.75,0,0
,Age,419.2,3.2,423,2.3,10,0,10,0,230,245,225,regular,black,#E6F5E1,421.1,1,3.5,5,8,4.25,0,0
Ludlow,Epoch,423,2.3,425.6,0.9,25,0,15,0,191,230,207,regular,black,#BFE6CF,424.3,1,2,3.5,8,2.75,0,0
Ludfordian,Age,423,2.3,425.6,0.9,15,0,10,0,217,240,223,regular,black,#D9F0DF,424.3,1,3.5,5,8,4.25,0,0
Wenlock,Epoch,425.6,0.9,433.4,0.8,30,0,20,0,179,225,194,regular,black,#B3E1C2,429.5,1,2,3.5,8,2.75,0,0
Gorstian,Age,425.6,0.9,427.4,0.5,20,0,10,0,204,236,221,regular,black,#CCECDD,426.5,1,3.5,5,8,4.25,0,0
Homerian,Age,427.4,0.5,430.5,0.7,20,0,15,0,204,235,209,regular,black,#CCEBD1,428.95,1,3.5,5,8,4.25,0,0
Sheinwoodian,Age,430.5,0.7,433.4,0.8,25,0,20,0,191,230,195,regular,black,#BFE6C3,431.95,1,3.5,5,8,4.25,0,0
Llandovery,Epoch,433.4,0.8,443.8,1.5,40,0,25,0,153,215,179,regular,black,#99D7B3,438.6,1,2,3.5,8,2.75,0,0
Telychian,Age,433.4,0.8,438.5,1.1,25,0,15,0,191,230,207,regular,black,#BFE6CF,435.95,1,3.5,5,8,4.25,0,0
Aeronian,Age,438.5,1.1,440.8,1.2,30,0,20,0,179,225,194,regular,black,#B3E1C2,439.65,1,3.5,5,8,4.25,0,0
Rhuddanian,Age,440.8,1.2,443.8,1.5,35,0,25,0,166,220,181,regular,black,#A6DCB5,442.3,1,3.5,5,8,4.25,0,0
Ordovician,Period,443.8,1.5,485.4,1.9,100,0,60,0,0,146,112,regular,white,#009270,464.6,1,1.5,2,10,1.75,90,0
Upper,Epoch,443.8,1.5,458.4,0.9,50,0,40,0,127,202,147,regular,black,#7FCA93,451.1,1,2,3.5,8,2.75,0,0
Hirnantian,Age,443.8,1.5,445.2,1.4,35,0,30,0,166,219,171,regular,black,#A6DBAB,444.5,1,3.5,5,8,4.25,0,0
Katian,Age,445.2,1.4,453,0.7,40,0,35,0,153,214,159,regular,black,#99D69F,449.1,1,3.5,5,8,4.25,0,0
Sandbian,Age,453,0.7,458.4,0.9,45,0,40,0,140,208,148,regular,black,#8CD094,455.7,1,3.5,5,8,4.25,0,0
Middle,Epoch,458.4,0.9,470,1.4,70,0,50,0,77,180,126,regular,white,#4DB47E,464.2,1,2,3.5,8,2.75,0,0
Darriwilian,Age,458.4,0.9,467.3,1.1,55,0,35,0,116,198,156,regular,white,#74C69C,462.85,1,3.5,5,8,4.25,0,0
Dapingian,Age,467.3,1.1,470,1.4,60,0,40,0,102,192,146,regular,white,#66C092,468.65,1,3.5,5,8,4.25,0,0
Lower,Epoch,470,1.4,485.4,1.9,90,0,60,0,26,157,111,regular,white,#1A9D6F,477.7,1,2,3.5,8,2.75,0,0
Floian,Age,470,1.4,477.7,1.4,75,0,45,0,65,176,135,regular,white,#41B087,473.85,1,3.5,5,8,4.25,0,0
Tremadocian,Age,477.7,1.4,485.4,1.9,80,0,50,0,51,169,126,regular,white,#33A97E,481.54999999999995,1,3.5,5,8,4.25,0,0
Cambrian,Period,485.4,1.9,541,1,50,20,65,0,127,160,86,regular,white,#7FA056,513.2,1,1.5,2,10,1.75,90,0
Furongian,Epoch,485.4,1.9,497,NA,30,0,40,0,179,224,149,regular,black,#B3E095,491.2,1,2,3.5,8,2.75,0,0
Stage 10,Age,485.4,1.9,489.5,NA,10,0,20,0,230,245,201,italics,black,#E6F5C9,487.45,3,3.5,5,8,4.25,0,0
Jiangshanian,Age,489.5,NA,494,NA,30,0,40,0,217,240,187,regular,black,#D9F0BB,491.75,1,3.5,5,8,4.25,0,0
Paibian,Age,494,NA,497,NA,20,0,30,0,204,235,174,regular,black,#CCEBAE,495.5,1,3.5,5,8,4.25,0,0
Series 3,Epoch,497,NA,509,NA,35,5,45,0,166,207,134,italics,black,#A6CF86,503,3,2,3.5,8,2.75,0,0
Guzhangian,Age,497,NA,500.5,NA,20,5,30,0,204,223,170,regular,black,#CCDFAA,498.75,1,3.5,5,8,4.25,0,0
Drumian,Age,500.5,NA,504.5,NA,25,5,35,0,191,217,157,regular,black,#BFD99D,502.5,1,3.5,5,8,4.25,0,0
Stage 5,Age,504.5,NA,509,NA,30,5,40,0,179,212,146,italics,black,#B3D492,506.75,3,3.5,5,8,4.25,0,0
Series 2,Epoch,509,NA,521,NA,40,10,50,0,153,192,120,italics,black,#99C078,515,3,2,3.5,8,2.75,0,0
Stage 4,Age,509,NA,514,NA,30,10,40,0,179,202,142,italics,black,#B3CA8E,511.5,3,3.5,5,8,4.25,0,0
Stage 3,Age,514,NA,521,NA,35,10,45,0,166,197,131,italics,black,#A6C583,517.5,3,3.5,5,8,4.25,0,0
Terreneuvian,Epoch,521,NA,541,1,45,15,55,0,140,176,108,regular,black,#8CB06C,531,1,2,3.5,8,2.75,0,0
Stage 2,Age,521,NA,529,NA,35,15,45,0,166,186,128,italics,black,#A6BA80,525,3,3.5,5,8,4.25,0,0
Fortunian,Age,529,NA,541,1,40,15,50,0,153,181,117,regular,black,#99B575,535,1,3.5,5,8,4.25,0,0
Precambrian,supereon,541,1,4600,NA,0,75,30,0,246,67,112,regular,black,#F64370,2570.5,1,0,0.5,14,0.25,90,0.5
Proterozoic,Eon,541,1,2500,NA,0,80,35,0,247,53,99,regular,black,#F73563,1520.5,1,0.5,1,14,0.75,90,0.5
Neoproterozoic,Era,541,1,1000,NA,0,30,70,0,254,179,66,regular,black,#FEB342,770.5,1,1,1.5,12,1.25,90,0.5
Ediacaran,Period,541,1,635,NA,0,15,55,0,254,217,106,regular,black,#FED96A,588,1,1.5,2,10,1.75,90,0
Cryogenian,Period,635,NA,720,NA,0,20,60,0,254,204,92,regular,black,#FECC5C,677.5,1,1.5,2,10,1.75,90,0
Tonian,Period,720,NA,1000,NA,0,25,65,0,254,191,78,regular,black,#FEBF4E,860,1,1.5,2,10,1.75,90,0
Mesoproterozoic,Era,1000,NA,1600,NA,0,30,55,0,253,180,98,regular,black,#FDB462,1300,1,1,1.5,12,1.25,90,0.5
Stenian,Period,1000,NA,1200,NA,0,15,35,0,254,217,154,regular,black,#FED99A,1100,1,1.5,2,10,1.75,90,0
Ectasian,Period,1200,NA,1400,NA,0,20,40,0,253,204,138,regular,black,#FDCC8A,1300,1,1.5,2,10,1.75,90,0
Calymmian,Period,1400,NA,1600,NA,0,25,45,0,253,192,122,regular,black,#FDC07A,1500,1,1.5,2,10,1.75,90,0
Paleoproterozoic,Era,1600,NA,2500,NA,0,75,30,0,247,67,112,regular,black,#F74370,2050,1,1,1.5,12,1.25,90,0.5
Statherian,Period,1600,NA,1800,NA,0,55,10,0,248,117,167,regular,black,#F875A7,1700,1,1.5,2,10,1.75,90,0
Orosirian,Period,1800,NA,2050,NA,0,60,15,0,247,104,152,regular,black,#F76898,1925,1,1.5,2,10,1.75,90,0
Rhyacian,Period,2050,NA,2300,NA,0,65,20,0,247,91,137,regular,black,#F75B89,2175,1,1.5,2,10,1.75,90,0
Siderian,Period,2300,NA,2500,NA,0,70,25,0,247,79,124,regular,black,#F74F7C,2400,1,1.5,2,10,1.75,90,0
Archean,Eon,2500,NA,4000,NA,0,100,0,0,240,4,127,regular,black,#F0047F,3250,1,0.5,1,14,0.75,90,0.5
Neoarchean,Era,2500,NA,2800,NA,0,40,5,0,249,155,193,regular,black,#F99BC1,2650,1,1,1.5,12,1.25,90,0.5
,Period,2500,NA,2800,NA,0,35,5,0,250,167,200,regular,black,#FAA7C8,2650,1,1.5,2,10,1.75,90,0
Mesoarchean,Era,2800,NA,3200,NA,0,60,5,0,247,104,169,regular,black,#F768A9,3000,1,1,1.5,12,1.25,90,0.5
,Period,2800,NA,3200,NA,0,50,5,0,248,129,181,regular,black,#F881B5,3000,1,1.5,2,10,1.75,90,0
Paleoarchean,Era,3200,NA,3600,NA,0,75,0,0,244,68,159,regular,black,#F4449F,3400,1,1,1.5,12,1.25,90,0.5
,Period,3200,NA,3600,NA,0,60,0,0,246,104,178,regular,black,#F668B2,3400,1,1.5,2,10,1.75,90,0
Eoarchean,Era,3600,NA,4000,NA,10,100,0,0,218,3,127,regular,black,#DA037F,3800,1,1,1.5,12,1.25,90,0.5
,Period,3600,NA,4000,NA,5,90,0,0,230,29,140,regular,black,#E61D8C,3800,1,1.5,2,10,1.75,90,0
Hadean,Eon,4000,NA,4600,NA,30,100,0,0,174,2,126,italics,white,#AE027E,4300,3,0.5,2,14,1.25,0,0.5
